
[T0][1/100] Loss=0.002116908086463809, Acc= 0.9254638768258981
[T0][2/100] Loss=0.0011664832709357142, Acc= 0.9958941966048164
[T0][3/100] Loss=0.0005826121778227389, Acc= 0.9961310698776155
[T0][4/100] Loss=0.00032452773302793503, Acc= 0.9962100276352152
[T0][5/100] Loss=0.00021200884657446295, Acc= 0.9964469009080142
[T0][6/100] Loss=0.00015527359209954739, Acc= 0.9967627319384129
[T0][7/100] Loss=0.00012249485007487237, Acc= 0.9967627319384129
[T0][8/100] Loss=0.00010157583892578259, Acc= 0.996999605211212
[T0][9/100] Loss=8.722024358576164e-05, Acc= 0.9972364784840111
[T0][10/100] Loss=7.681454735575244e-05, Acc= 0.9972364784840111
[T0][11/100] Loss=6.894117541378364e-05, Acc= 0.9973154362416108
[T0][12/100] Loss=6.278674118220806e-05, Acc= 0.9973154362416108
[T0][13/100] Loss=5.784070526715368e-05, Acc= 0.9974733517568101
[T0][14/100] Loss=5.377582419896498e-05, Acc= 0.9974733517568101
[T0][15/100] Loss=5.037459050072357e-05, Acc= 0.9974733517568101
[T0][16/100] Loss=4.7485002141911536e-05, Acc= 0.9974733517568101
[T0][17/100] Loss=4.499579517869279e-05, Acc= 0.9977102250296092
[T0][18/100] Loss=4.2824711272260174e-05, Acc= 0.9977891827872089
[T0][19/100] Loss=4.090923903277144e-05, Acc= 0.9978681405448085
[T0][20/100] Loss=3.92062465834897e-05, Acc= 0.9978681405448085
[T0][21/100] Loss=3.767849921132438e-05, Acc= 0.9979470983024082
[T0][22/100] Loss=3.629792627179995e-05, Acc= 0.9979470983024082
[T0][23/100] Loss=3.5042830859310925e-05, Acc= 0.9979470983024082
[T0][24/100] Loss=3.3896216336870566e-05, Acc= 0.9979470983024082
[T0][25/100] Loss=3.284212652943097e-05, Acc= 0.9979470983024082
[T0][26/100] Loss=3.186901449225843e-05, Acc= 0.9979470983024082
[T0][27/100] Loss=3.096790533163585e-05, Acc= 0.9980260560600079
[T0][28/100] Loss=3.013110654137563e-05, Acc= 0.9981050138176076
[T0][29/100] Loss=2.9350239856285043e-05, Acc= 0.9981050138176076
[T0][30/100] Loss=2.8619959266507067e-05, Acc= 0.9980260560600079
[T0][31/100] Loss=2.793501698761247e-05, Acc= 0.9981050138176076
[T0][32/100] Loss=2.7291293008602224e-05, Acc= 0.9981050138176076
[T0][33/100] Loss=2.6684450858738273e-05, Acc= 0.9981839715752072
[T0][34/100] Loss=2.6111745683010668e-05, Acc= 0.9982629293328069
[T0][35/100] Loss=2.557023435656447e-05, Acc= 0.9982629293328069
[T0][36/100] Loss=2.5056842787307687e-05, Acc= 0.9982629293328069
[T0][37/100] Loss=2.4568838853156194e-05, Acc= 0.9982629293328069
